"Date","Site.Name","COUNTY","meanlatitude","meanlongitude","Month","Day","PM2.5","Ozone"
2018-01-08,"West Johnston Co.","Johnston",35.59095,-78.4622,1,8,38,NA
2018-01-09,"Bryson City","Swain",35.434767,-83.442133,1,9,78,NA
2018-01-09,"Castle Hayne","New Hanover",34.364167,-77.838611,1,9,20,NA
2018-01-09,"Clemmons Middle","Forsyth",36.026,-80.342,1,9,60,NA
2018-01-09,"Durham Armory","Durham",36.0329550008979,-78.904037,1,9,49,NA
2018-01-09,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,9,53,28
2018-01-09,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,9,54,NA
2018-01-09,"Leggett","Edgecombe",35.988278,-77.5843,1,9,19,NA
2018-01-09,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,9,43,NA
2018-01-09,"Millbrook School","Wake",35.856111,-78.574167,1,9,35,30
2018-01-09,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,9,31,NA
2018-01-09,"West Johnston Co.","Johnston",35.59095,-78.4622,1,9,43,NA
2018-01-10,"Bryson City","Swain",35.434767,-83.442133,1,10,56,NA
2018-01-10,"Castle Hayne","New Hanover",34.364167,-77.838611,1,10,14,NA
2018-01-10,"Clemmons Middle","Forsyth",36.026,-80.342,1,10,39,NA
2018-01-10,"Durham Armory","Durham",36.0329550008979,-78.904037,1,10,39,NA
2018-01-10,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,10,38,31
2018-01-10,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,10,32,NA
2018-01-10,"Leggett","Edgecombe",35.988278,-77.5843,1,10,35,NA
2018-01-10,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,10,29,NA
2018-01-10,"Millbrook School","Wake",35.856111,-78.574167,1,10,22,33
2018-01-10,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,10,37,NA
2018-01-10,"West Johnston Co.","Johnston",35.59095,-78.4622,1,10,35,NA
2018-01-11,"Bryson City","Swain",35.434767,-83.442133,1,11,17,NA
2018-01-11,"Castle Hayne","New Hanover",34.364167,-77.838611,1,11,12,NA
2018-01-11,"Clemmons Middle","Forsyth",36.026,-80.342,1,11,59,NA
2018-01-11,"Durham Armory","Durham",36.0329550008979,-78.904037,1,11,43.5,NA
2018-01-11,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,11,0,NA
2018-01-11,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,11,35,26
2018-01-11,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,11,48.5,NA
2018-01-11,"Leggett","Edgecombe",35.988278,-77.5843,1,11,34,NA
2018-01-11,"Linville Falls","Avery",35.972347,-81.933072,1,11,3,NA
2018-01-11,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,11,55,NA
2018-01-11,"Millbrook School","Wake",35.856111,-78.574167,1,11,23,26
2018-01-11,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,11,27.5,NA
2018-01-11,"West Johnston Co.","Johnston",35.59095,-78.4622,1,11,41,NA
2018-01-12,"Bryson City","Swain",35.434767,-83.442133,1,12,10,NA
2018-01-12,"Castle Hayne","New Hanover",34.364167,-77.838611,1,12,0,NA
2018-01-12,"Clemmons Middle","Forsyth",36.026,-80.342,1,12,23,NA
2018-01-12,"Durham Armory","Durham",36.0329550008979,-78.904037,1,12,5,NA
2018-01-12,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,12,20,33
2018-01-12,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,12,23,NA
2018-01-12,"Leggett","Edgecombe",35.988278,-77.5843,1,12,8,NA
2018-01-12,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,12,15,NA
2018-01-12,"Millbrook School","Wake",35.856111,-78.574167,1,12,0,35
2018-01-12,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,12,12,NA
2018-01-12,"West Johnston Co.","Johnston",35.59095,-78.4622,1,12,13,NA
2018-01-13,"Bryson City","Swain",35.434767,-83.442133,1,13,18,NA
2018-01-13,"Castle Hayne","New Hanover",34.364167,-77.838611,1,13,10,NA
2018-01-13,"Clemmons Middle","Forsyth",36.026,-80.342,1,13,10,NA
2018-01-13,"Durham Armory","Durham",36.0329550008979,-78.904037,1,13,20,NA
2018-01-13,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,13,15,32
2018-01-13,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,13,10,NA
2018-01-13,"Leggett","Edgecombe",35.988278,-77.5843,1,13,0,NA
2018-01-13,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,13,12,NA
2018-01-13,"Millbrook School","Wake",35.856111,-78.574167,1,13,24,32
2018-01-13,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,13,3,NA
2018-01-13,"West Johnston Co.","Johnston",35.59095,-78.4622,1,13,8,NA
2018-01-14,"Bryson City","Swain",35.434767,-83.442133,1,14,28,NA
2018-01-14,"Castle Hayne","New Hanover",34.364167,-77.838611,1,14,10,NA
2018-01-14,"Clemmons Middle","Forsyth",36.026,-80.342,1,14,25,NA
2018-01-14,"Durham Armory","Durham",36.0329550008979,-78.904037,1,14,20,NA
2018-01-14,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,14,6,NA
2018-01-14,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,14,26.5,31
2018-01-14,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,14,20.3333333333333,NA
2018-01-14,"Leggett","Edgecombe",35.988278,-77.5843,1,14,10,NA
2018-01-14,"Linville Falls","Avery",35.972347,-81.933072,1,14,10,NA
2018-01-14,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,14,22,NA
2018-01-14,"Millbrook School","Wake",35.856111,-78.574167,1,14,19.5,NA
2018-01-14,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,14,15.5,NA
2018-01-14,"West Johnston Co.","Johnston",35.59095,-78.4622,1,14,15,NA
2018-01-15,"Bryson City","Swain",35.434767,-83.442133,1,15,43,NA
2018-01-15,"Castle Hayne","New Hanover",34.364167,-77.838611,1,15,21,NA
2018-01-15,"Clemmons Middle","Forsyth",36.026,-80.342,1,15,30,NA
2018-01-15,"Durham Armory","Durham",36.0329550008979,-78.904037,1,15,44,NA
2018-01-15,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,15,43,27
2018-01-15,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,15,30,NA
2018-01-15,"Leggett","Edgecombe",35.988278,-77.5843,1,15,24,NA
2018-01-15,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,15,40,NA
2018-01-15,"Millbrook School","Wake",35.856111,-78.574167,1,15,35,NA
2018-01-15,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,15,30,NA
2018-01-15,"West Johnston Co.","Johnston",35.59095,-78.4622,1,15,35,NA
2018-01-16,"Bryson City","Swain",35.434767,-83.442133,1,16,52,NA
2018-01-16,"Castle Hayne","New Hanover",34.364167,-77.838611,1,16,20,NA
2018-01-16,"Clemmons Middle","Forsyth",36.026,-80.342,1,16,69,NA
2018-01-16,"Durham Armory","Durham",36.0329550008979,-78.904037,1,16,60,NA
2018-01-16,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,16,61,28
2018-01-16,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,16,68,NA
2018-01-16,"Leggett","Edgecombe",35.988278,-77.5843,1,16,29,NA
2018-01-16,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,16,70,NA
2018-01-16,"Millbrook School","Wake",35.856111,-78.574167,1,16,58,24
2018-01-16,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,16,37,NA
2018-01-16,"West Johnston Co.","Johnston",35.59095,-78.4622,1,16,53,NA
2018-01-17,"Bryson City","Swain",35.434767,-83.442133,1,17,37,NA
2018-01-17,"Castle Hayne","New Hanover",34.364167,-77.838611,1,17,24,NA
2018-01-17,"Clemmons Middle","Forsyth",36.026,-80.342,1,17,55,NA
2018-01-17,"Durham Armory","Durham",36.0329550008979,-78.904037,1,17,54.5,NA
2018-01-17,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,17,15,NA
2018-01-17,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,17,40.5,28
2018-01-17,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,17,47.5,NA
2018-01-17,"Leggett","Edgecombe",35.988278,-77.5843,1,17,38,NA
2018-01-17,"Linville Falls","Avery",35.972347,-81.933072,1,17,19,NA
2018-01-17,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,17,51,NA
2018-01-17,"Millbrook School","Wake",35.856111,-78.574167,1,17,56,29
2018-01-17,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,17,48.5,NA
2018-01-17,"West Johnston Co.","Johnston",35.59095,-78.4622,1,17,66,NA
2018-01-18,"Bryson City","Swain",35.434767,-83.442133,1,18,48,NA
2018-01-18,"Castle Hayne","New Hanover",34.364167,-77.838611,1,18,30,NA
2018-01-18,"Clemmons Middle","Forsyth",36.026,-80.342,1,18,40,NA
2018-01-18,"Durham Armory","Durham",36.0329550008979,-78.904037,1,18,45,NA
2018-01-18,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,18,40,31
2018-01-18,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,18,35,NA
2018-01-18,"Leggett","Edgecombe",35.988278,-77.5843,1,18,31,NA
2018-01-18,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,18,34,NA
2018-01-18,"Millbrook School","Wake",35.856111,-78.574167,1,18,54,35
2018-01-18,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,18,38,NA
2018-01-18,"West Johnston Co.","Johnston",35.59095,-78.4622,1,18,50,NA
2018-01-19,"Bryson City","Swain",35.434767,-83.442133,1,19,52,NA
2018-01-19,"Clemmons Middle","Forsyth",36.026,-80.342,1,19,54,NA
2018-01-19,"Durham Armory","Durham",36.0329550008979,-78.904037,1,19,57,NA
2018-01-19,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,19,49,22
2018-01-19,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,19,43,NA
2018-01-19,"Leggett","Edgecombe",35.988278,-77.5843,1,19,25,NA
2018-01-19,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,19,37,NA
2018-01-19,"Millbrook School","Wake",35.856111,-78.574167,1,19,55,32
2018-01-19,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,19,34,NA
2018-01-19,"West Johnston Co.","Johnston",35.59095,-78.4622,1,19,42,NA
2018-01-20,"Bryson City","Swain",35.434767,-83.442133,1,20,51,NA
2018-01-20,"Castle Hayne","New Hanover",34.364167,-77.838611,1,20,21,NA
2018-01-20,"Clemmons Middle","Forsyth",36.026,-80.342,1,20,63,NA
2018-01-20,"Durham Armory","Durham",36.0329550008979,-78.904037,1,20,45,NA
2018-01-20,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,20,6,NA
2018-01-20,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,20,43,32
2018-01-20,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,20,36,NA
2018-01-20,"Leggett","Edgecombe",35.988278,-77.5843,1,20,28,NA
2018-01-20,"Linville Falls","Avery",35.972347,-81.933072,1,20,8,NA
2018-01-20,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,20,38,NA
2018-01-20,"Millbrook School","Wake",35.856111,-78.574167,1,20,50,35
2018-01-20,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,20,41,NA
2018-01-20,"West Johnston Co.","Johnston",35.59095,-78.4622,1,20,40,NA
2018-01-21,"Bryson City","Swain",35.434767,-83.442133,1,21,50,NA
